period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
3.660000000000000000e+02,2.616780821259750284e-03,5.741913783923618259e-03,3.466858507726849892e-03,1.829553372982913907e-03,1.637305134743935985e-03,3.466708049558275221e-03,1.504581685746707309e-07,-7.192485758008104746e+00,-3.434243223067168227e+00
3.670000000000000000e+02,2.616796962080718703e-03,5.741912167398310549e-03,3.466868505242304277e-03,1.829552920291639901e-03,1.637315584950664376e-03,3.466718052781312016e-03,1.504524609922605616e-07,-7.191913302929053842e+00,-3.434270409297335291e+00
3.680000000000000000e+02,2.616813102523436740e-03,5.741910550547970303e-03,3.466878502800874347e-03,1.829552467581105910e-03,1.637326035219768437e-03,3.466728056047345234e-03,1.504467535291126312e-07,-7.191340861265138606e+00,-3.434297600993785338e+00
3.690000000000000000e+02,2.616829242587936488e-03,5.741908933372643492e-03,3.466888500402567040e-03,1.829552014851319307e-03,1.637336485551247733e-03,3.466738059356390053e-03,1.504410461769870033e-07,-7.190768433015226613e+00,-3.434324798155774516e+00
3.700000000000000000e+02,2.616845382274251338e-03,5.741907315872380423e-03,3.466898498047402306e-03,1.829551562102288550e-03,1.637346935945113756e-03,3.466748062708462953e-03,1.504353389393531248e-07,-7.190196018178118820e+00,-3.434352000782436853e+00
3.710000000000000000e+02,2.616861521582411650e-03,5.741905698047219259e-03,3.466908495735392289e-03,1.829551109334019276e-03,1.637357386401373013e-03,3.466758066103575210e-03,1.504296318170783575e-07,-7.189623616752760071e+00,-3.434379208873128420e+00
3.720000000000000000e+02,2.616877660512449948e-03,5.741904079897210307e-03,3.466918493466549563e-03,1.829550656546519724e-03,1.637367836920029839e-03,3.466768069541744605e-03,1.504239248049585309e-07,-7.189051228737985966e+00,-3.434406422427027650e+00
3.730000000000000000e+02,2.616893799064397026e-03,5.741902461422396069e-03,3.466928491240891478e-03,1.829550203739795751e-03,1.637378287501095727e-03,3.466778073022982413e-03,1.504182179090651772e-07,-7.188478854132707596e+00,-3.434433641443390695e+00
3.740000000000000000e+02,2.616909937238286275e-03,5.741900842622822514e-03,3.466938489058431910e-03,1.829549750913855161e-03,1.637388738144576750e-03,3.466788076547303813e-03,1.504125111280972538e-07,-7.187906492935736580e+00,-3.434460865921462602e+00
3.750000000000000000e+02,2.616926075034148487e-03,5.741899223498533877e-03,3.466948486919180401e-03,1.829549298068702942e-03,1.637399188850477460e-03,3.466798080114719648e-03,1.504068044607537180e-07,-7.187334145145984898e+00,-3.434488095860488421e+00
3.760000000000000000e+02,2.616942212452015321e-03,5.741897604049576130e-03,3.466958484823153865e-03,1.829548845204348635e-03,1.637409639618805229e-03,3.466808083725249866e-03,1.504010979039988039e-07,-7.186761810762321012e+00,-3.434515331259702098e+00
3.770000000000000000e+02,2.616958349491920171e-03,5.741895984275995242e-03,3.466968482770367913e-03,1.829548392320798095e-03,1.637420090449569817e-03,3.466818087378906177e-03,1.503953914617356391e-07,-7.186189489783578743e+00,-3.434542572118337578e+00
3.780000000000000000e+02,2.616974486153892960e-03,5.741894364177833714e-03,3.466978480760838158e-03,1.829547939418058045e-03,1.637430541342780113e-03,3.466828091075702025e-03,1.503896851361326281e-07,-7.185617182208680731e+00,-3.434569818435662114e+00
3.790000000000000000e+02,2.616990622437966214e-03,5.741892743755139250e-03,3.466988478794575008e-03,1.829547486496137156e-03,1.637440992298437852e-03,3.466838094815653890e-03,1.503839789211182387e-07,-7.185044888036474120e+00,-3.434597070210887448e+00
